ï»¿Country Name,Country Code,Series Name,2013 [YR2013]
Afghanistan,AFG,Urban population growth (annual %),3.978798769
Albania,ALB,Urban population growth (annual %),1.811849278
Algeria,DZA,Urban population growth (annual %),2.795280125
American Samoa,ASM,Urban population growth (annual %),-0.022829392
Andorra,ADO,Urban population growth (annual %),0.461080684
Angola,AGO,Urban population growth (annual %),4.958421165
Antigua and Barbuda,ATG,Urban population growth (annual %),-0.951490505
Arab World,ARB,Urban population growth (annual %),2.524402127
Argentina,ARG,Urban population growth (annual %),1.042554334
Armenia,ARM,Urban population growth (annual %),-0.043149049
Aruba,ABW,Urban population growth (annual %),-0.212333905
Australia,AUS,Urban population growth (annual %),1.889210771
Austria,AUT,Urban population growth (annual %),0.614462274
Azerbaijan,AZE,Urban population growth (annual %),1.745485728
"Bahamas, The",BHS,Urban population growth (annual %),1.523677325
Bahrain,BHR,Urban population growth (annual %),1.136731437
Bangladesh,BGD,Urban population growth (annual %),3.577600996
Barbados,BRB,Urban population growth (annual %),0.133280041
Belarus,BLR,Urban population growth (annual %),0.562944663
Belgium,BEL,Urban population growth (annual %),0.534197377
Belize,BLZ,Urban population growth (annual %),1.944302524
Benin,BEN,Urban population growth (annual %),3.655018263
Bermuda,BMU,Urban population growth (annual %),0.312791571
Bhutan,BTN,Urban population growth (annual %),3.718912205
Bolivia,BOL,Urban population growth (annual %),2.270608376
Bosnia and Herzegovina,BIH,Urban population growth (annual %),0.153619164
Botswana,BWA,Urban population growth (annual %),1.276976298
Brazil,BRA,Urban population growth (annual %),1.172570066
Brunei Darussalam,BRN,Urban population growth (annual %),1.779002254
Bulgaria,BGR,Urban population growth (annual %),-0.109810832
Burkina Faso,BFA,Urban population growth (annual %),5.868644635
Burundi,BDI,Urban population growth (annual %),5.625858892
Cabo Verde,CPV,Urban population growth (annual %),2.062840388
Cambodia,KHM,Urban population growth (annual %),2.703288179
Cameroon,CMR,Urban population growth (annual %),3.60434993
Canada,CAN,Urban population growth (annual %),1.375665498
Caribbean small states,CSS,Urban population growth (annual %),0.733044511
Cayman Islands,CYM,Urban population growth (annual %),1.49134267
Central African Republic,CAF,Urban population growth (annual %),2.610042849
Central Europe and the Baltics,CEB,Urban population growth (annual %),-0.123600099
Chad,TCD,Urban population growth (annual %),3.426568075
Channel Islands,CHI,Urban population growth (annual %),0.746885685
Chile,CHL,Urban population growth (annual %),1.095154694
China,CHN,Urban population growth (annual %),2.928698509
Colombia,COL,Urban population growth (annual %),1.654714796
Comoros,COM,Urban population growth (annual %),2.665189028
"Congo, Dem. Rep.",ZAR,Urban population growth (annual %),3.955517218
"Congo, Rep.",COG,Urban population growth (annual %),3.187830764
Costa Rica,CRI,Urban population growth (annual %),2.746759227
Cote d'Ivoire,CIV,Urban population growth (annual %),3.756069406
Croatia,HRV,Urban population growth (annual %),0.211289001
