ABW,1253
AFG,-399999
AGO,65543
ALB,-50002
ARB,354001
ARE,514042
ARG,-99998
ARM,-50001
ATG,-56
AUS,749997
AUT,150001
AZE,0
BDI,-20001
BEL,150007
BEN,-10000
BFA,-125000
BGD,-2040559
BGR,-50000
BHR,22081
BHS,9672
BIH,-5000
BLR,-10000
BLZ,7596
BOL,-125000
BRA,-190000
BRB,1998
BRN,1760
BTN,10000
BWA,20000
CAF,10000
CAN,1099999
CEB,120515
CHE,320000
CHI,3654
CHL,30000
CHN,-1500000
CIV,50000
CMR,-50000
COD,-75000
COG,-45363
COL,-120000
COM,-10000
CPV,-17215
CRI,64260
CSS,-122794
CUB,-140000
CUW,14054
CYP,35000
CZE,199999
DEU,549998
DJI,-15996
DNK,74999
DOM,-140000
DZA,-50002
EAS,-993626
ECA,-735563
ECU,-30000
EGY,-215681
ERI,55001
ESP,599997
EST,0
ETH,-60001
FCS,-1920418
FIN,50001
FJI,-28720
FRA,649998
FSM,-8192
GAB,5000
GBR,900000
GEO,-125007
GHA,-100000
GIN,-10000
GMB,-13476
GNB,-10000
GNQ,20000
GRC,49996
GRD,-4274
GTM,-75000
GUM,0
GUY,-32770
HKG,150000
HND,-50000
HRV,-20000
HTI,-175001
HUN,75000
IDN,-700000
IND,-2294049
IRL,50000
IRN,-300001
IRQ,449998
ISL,5429
ISR,-75985
ITA,900000
JAM,-80000
JOR,400002
JPN,350000
KAZ,0
KEN,-50000
KGZ,-175003
KHM,-174997
KIR,-1000
KOR,300000
KWT,299999
LAO,-74998
LBN,500001
LBR,-20000
LBY,-238688
LCA,40
LIC,-1180987
LKA,-316785
LSO,-19998
LTU,-28394
LUX,25602
LVA,-10000
MAC,35000
MAR,-450000
MDA,-103050
MDG,-5000
MDV,-53
MEA,962527
MEX,-1200191
MKD,-4999
MLI,-302449
MLT,4512
MMR,-100000
MNA,-1632058
MNE,-2500
MNG,-15001
MOZ,-25004
MRT,-20000
MUS,0
MWI,0
MYS,450000
NAM,-3336
NCL,5660
NER,-28497
NGA,-300000
NIC,-120000
NLD,50006
NOR,149997
NPL,-400570
NZL,75003
OMN,1029938
OSS,-121625
PAK,-1634420
PAN,28575
PER,-300001
PHL,-700000
PNG,0
POL,-38090
PRI,-103537
PRK,0
PRT,99995
PRY,-40000
PSE,-43750
PSS,-70548
PYF,-500
QAT,499998
ROU,-44999
RUS,1100002
RWA,-44999
SAU,300000
SDN,-800000
SEN,-99996
SGP,400000
SLB,-11868
SLE,-21000
SLV,-225002
SOM,-150000
SRB,-99999
SSA,-1543285
SSD,865000
SSF,-1524836
SST,-314967
STP,-1500
SUR,-5000
SVK,14999
SVN,22000
SWE,200000
SWZ,-6000
SYC,-1551
SYR,-1500000
TCD,-120000
TGO,-9994
THA,100000
TJK,-99999
TKM,-24998
TLS,-75000
TON,-8078
TTO,-15000
TUN,-32941
TUR,350000
TZA,-150000
UGA,-150000
UKR,-40006
URY,-30000
USA,3000002
UZB,-200000
VCT,-5000
VEN,40000
VIR,-3604
VNM,-200002
VUT,0
WLD,0
WSM,-12690
YEM,-135000
ZAF,-100000
ZMB,-40000
ZWE,400000
